Title,ISBNs
That Deadman Dance,9781608197057; 1608197050;
Halo,0312656262 (hbk.); 9780312656263 (hbk.); 1429945052 (eBook); 9781429945059 (eBook);
Wildflower Hill,9780733623752;
Bereft,9781921640605 (pbk.);
Beautiful Malice,9781742373003 (pbk.);
The Distant Hours,9781742371832 (hbk.);
Behemoth,9780670073047 (hbk.);
When Colts Ran,9781864710410 (pbk.);
Rocks in the Belly,9781921640674;
Indelible Ink,9781921215964 (pbk.);
Campaign Ruby,9781921656576 (pbk.);
Bleed for Me,1847442196 (pbk.); 9780748114016 (ebook); 9781847442192 (pbk.); 1847442188 (hbk.); 0748114017 (ebook); 9781847442185 (hbk.);
Lights Out in Wonderland,9780571228904 (hbk.); 9780571228898 (pbk.);
The Legacy,9780732290801 (pbk.);
The Piper's Son,9780670074235 (pbk.);
Graffiti Moon,9780330425780 (pbk.);
Wyatt,9781921656026 (pbk.);
The Body in the Clouds,9781742372426;
Manhattan Dreaming,9781741668926 (pbk.);
Gunshot Road,9781921656309 (pbk.);
At Home with the Templetons,9781921518225 (pbk.);
That Deadman Dance,9780330404235 (pbk);
That Deadman Dance,9781742611501 (pbk);
That Deadman Dance,9781405040440 (pbk); 9781405040433 (hbk);
Halo,8842917036; 9788842917038;
Halo,0732289890 (pbk.); 9780732289898 (pbk.);
Halo,8362478063; 9788362478064;
Halo,0606237682; 9780606237680;
Halo,8756799055; 9788756799058;
Halo,9636354138; 9789636354138;
Halo,9780732298494;
Halo,9785699710829;
Halo,6054456237; 9786054456239;
Halo,3499216000; 9783499216008; 3644471614 (eBook); 9783644471610 (eBook);
Halo,8499181732; 9788499181738;
Halo,9022558339; 9789022558331;
Halo,9788055124452;
Halo,1907410759; 9781907410758;
Halo,9789896572419;
Halo,0312674368 (pbk.); 9780312674366 (pbk.);
Halo,2266212710; 9782266212717;
Halo,885023094X; 9788850230945;
Halo,8740005445; 9788740005448;
Halo,7540448733; 9787540448738;
Halo,9862294809; 9789862294802 (pbk.);
Halo,802423047X; 9788024230474;
Halo,9786029346169;
Cold Justice,9781405039277 (pbk.);
Solace and Grief,9781876462895 (pbk.);
About a Girl,9781742371443 (pbk.);
Glissando : A Melodrama,9781740669337;
Mice,9781742372358;
Martin Westley Takes a Walk,9781741669619 (pbk.);
Girl Saves Boy,9781921656590 (pbk.);
House of Sticks,9781921844270 (pbk.);
After America,9781405039413 (pbk.);
"Big River, Little Fish",9780702238505 (pbk.);
Fall Girl,9781921656651 (pbk.);
Let the Dead Lie,9781405039208 (pbk.);
Noah's Law,9780330426183 (pbk.);
Traitor,9781921656491 (pbk.);
Black Glass,9781921640933 (pbk.);
I Came To Say Goodbye,9781742741307 (ebook); 9781863256810 (pbk.);
The Grand Hotel : A Novel,9781741669732 (pbk.);
Good Oil,9781741759976 (pbk.);
Below the Styx,9781741757804;
The Mary Smokes Boys,9780980571790;
Blossoms and Shadows,9780733627606 (hbk.); 9780733627453 (hbk.); 9780733626500 (pbk.);
Six Impossible Things,9780330426060 (pbk.);
Claiming His Bought Bride,9780733599071;
Roddy Parr,9780732290276 (pbk.);
Houdini's Flight : Sometimes You Need to Disappear to Find Yourself,9780732280659 (pbk.);
How It Feels,9781405039291 (pbk.);
Sustenance,9781742580715;
Merrow,9781742031361 (pbk.);
The Philanthropist,9781740669979;
Men of Bad Character,9780702237737;
The  Reckless Bride,9780732290559 (pbk.);
Every Girl's Secret Fantasy,9780263214161 (pbk.);
Notorious,9781742372396 (pbk.);
Five Parts Dead,9781921656286 (pbk.);
90 Packets of Instant Noodles,9781921361999 (pbk.);
Nineteen Seventysomething,9780980637854;
Scout,9780143204589 (pbk.);
Fields of Gold,9781921518065 (pbk.);
Comrades,9781863256407 (pbk.); 97817427409 (ebook);
The Blood Countess,9781405040143 (pbk.);
In Lonnie's Shadow,9781876462918 (pbk.);
When Courage Came to Call,9781741664447 (pbk.);
Im Tal Der Flammenden Sonne,9783404159567; 340415956X;
Marrying Ameera,9780732291440 (pbk.);
The Old School,9780670074518 (pbk.);
Trust,9780670073979 (pbk.);
Fortune Cookie,9780670074082;
Prohibited Zone,9781862549432;
Anonymity Jones,9781741664539 (pbk.);
Kindling,9780733625022 (pbk.);
Genesis,9781921529399 (pbk.);
Child of the Twilight,9780732284541 (pbk.);
Little Paradise,9780143011477 (pbk.);
Torn Apart,9781742371399 (pbk.);
One Perfect Pirouette,9780702238413;
Madigan Mine,9780330425711 (pbk.);
Naked Cruelty,9780732292294 (pbk.);
Zendegi,9780575086173;
The Emerald Casket,9781921656453 (pbk.);
Six,9781742031552 (pbk.);
Days Like This,9780143206545 (pbk.);
Stillwater Creek,9781741669312 (pbk.);
The Book of Love,9780733624391 (pbk.);
The Plantation,9781405039987 (pbk.);
Making News,9781741969238 (pbk.);
Leaving Suzie Pye,9780732290047 (pbk.);
Darkwater,9781864719833 (pbk.); 9781742740027 (ebk.);
A Darker Music,9781921640650 (pbk.);
Ethan Grout,9781741968989 (pbk.);
The Norseman's Song,9780980740523 (pbk.);
Book of Lost Threads,9781742372334;
India Dark,9781741758580 (pbk.);
Fury,9781742031323 (pbk.);
A Waltz for Matilda,9780732290214 (pbk.);
Pilgrims,9780732289478 (pbk.);
The Brazen Bride,9780732290542 (pbk.);
Death Mask,9781405039956;
Sugar Sugar,9781742031200 (pbk.);
